geo_id,day,cumulative_number_for_14_days_of_covid_19_cases_per_100000
af,20200823,2.48411239
af,20200824,2.48411239
af,20200825,2.67074941
af,20200826,2.10820967
af,20200827,2.05300717
af,20200828,1.85322671
af,20200829,1.86374147
af,20200830,1.55618469
af,20200831,1.48783875
af,20200901,1.56932815
af,20200902,1.59298636
af,20200903,1.27228614
af,20200904,1.13559424
af,20200905,1.07776305
af,20200906,0.85432437
af,20200907,1.04884745
af,20200908,1.11456471
af,20200909,1.18028197
af,20200910,1.09879257
af,20200911,1.16450983
af,20200912,1.22496971
af,20200913,1.3090878
af,20200914,1.45629446
af,20200915,1.62715933
af,20200916,1.70864874
af,20200917,1.65344624
af,20200918,1.53515517
af,20200919,1.61664457
af,20200920,1.89265706
af,20200921,1.69813397
af,20200922,1.52464041
af,20200923,1.64293148
af,20200924,1.64556017
af,20200925,1.61401588
af,20200926,1.54041255
af,20200927,1.54041255
af,20200928,1.34326078
af,20200929,1.11456471
af,20200930,1.04884745
af,20201001,1.04096138
af,20201002,1.08564912
af,20201003,0.97524412
af,20201004,0.66505866
af,20201005,0.78072104
af,20201006,1.08302043
af,20201007,1.05936222
af,20201008,1.1723959
af,20201009,1.33274601
af,20201010,1.34326078
af,20201011,1.25125661
af,20201012,1.50361089
af,20201013,1.81116766
af,20201014,1.94523087
af,20201015,1.99254729
af,20201016,1.94785956
af,20201017,2.05826455
af,20201018,2.21861467
af,20201019,2.25804502
af,20201020,2.10558098
af,20201021,2.17392693
af,20201022,2.35004918
af,20201023,2.45256811
af,20201024,2.58663132
af,20201025,2.79955524
af,20201026,2.71806583
af,20201027,2.90207416
af,20201028,3.02562261
af,20201029,2.94150452
af,20201030,3.26483343
af,20201031,3.55398937
af,20201101,3.57501889
af,20201102,3.76691329
af,20201103,3.78794281
af,20201104,3.78268543
af,20201105,3.74588377
af,20201106,3.5461033
af,20201107,3.53821723
af,20201108,3.65650829
af,20201109,3.69593865
af,20201110,3.76165591
af,20201111,3.4646139
af,20201112,3.84840269
af,20201113,4.47140231
af,20201114,4.23219148
af,20201115,4.57129254
af,20201116,4.65278194
af,20201117,4.57392123
af,20201118,5.35464227
af,20201119,5.03657073
af,20201120,5.6727138
af,20201121,6.13010593
af,20201122,6.20370926
af,20201123,6.655844
af,20201124,6.71367519
af,20201125,7.1999829
af,20201126,7.34193218
af,20201127,6.39560365
af,20201128,6.78464983
af,20201129,6.8451097
af,20201130,6.41663317
af,20201201,6.96077208
af,20201202,7.00545982
af,20201203,7.53645527
af,20201204,7.10797874
af,20201205,7.11586481
af,20201206,7.32616004
af,20201207,7.21575505
af,20201208,7.09483529
af,20201209,6.96340077
af,20201210,6.96865815
af,20201211,7.13426564
ag,20200315,
ag,20200321,
ag,20200322,
ag,20200323,
ag,20200324,
ag,20200325,
ag,20200326,
ag,20200327,
ag,20200328,
ag,20200329,
ag,20200330,
ag,20200331,
ag,20200401,
ag,20200402,7.20794934
ag,20200403,8.23765639
ag,20200404,14.41589868
ag,20200405,14.41589868
ag,20200406,14.41589868
ag,20200407,14.41589868
ag,20200408,12.35648458
ag,20200409,12.35648458
ag,20200410,12.35648458
ag,20200411,14.41589868
ag,20200412,14.41589868
ag,20200413,14.41589868
ag,20200414,16.47531277
ag,20200415,16.47531277
ag,20200416,16.47531277
ag,20200417,14.41589868
ag,20200418,8.23765639
ag,20200419,8.23765639
ag,20200420,8.23765639
ag,20200421,8.23765639
ag,20200422,9.26736344
ag,20200423,9.26736344
ag,20200424,5.14853524
ag,20200425,3.08912115
ag,20200426,3.08912115
