geo_id,day,deaths_weekly
bo,20200323,0
bo,20200330,3
bo,20200406,8
bo,20200413,16
bo,20200420,6
bo,20200427,17
bo,20200504,26
bo,20200511,42
bo,20200518,51
bo,20200525,81
bo,20200601,63
bo,20200608,152
bo,20200615,146
bo,20200622,162
bo,20200629,241
bo,20200706,420
bo,20200713,373
bo,20200720,344
bo,20200727,432
bo,20200803,570
bo,20200810,487
bo,20200817,408
bo,20200824,461
bo,20200831,457
bo,20200907,2042
bo,20200914,336
bo,20200921,273
bo,20200928,241
bo,20201005,243
bo,20201012,207
bo,20201019,173
bo,20201026,164
bo,20201102,86
bo,20201109,64
bo,20201116,54
bo,20201123,55
bo,20201130,48
bo,20201207,43
bo,20201214,23
bo,20201221,25
bo,20201228,55
bo,20210104,103
bq,20200406,0
bq,20200413,0
bq,20200420,0
bq,20200427,0
bq,20200504,0
bq,20200511,0
bq,20200518,0
bq,20200525,0
bq,20200601,0
bq,20200608,0
bq,20200615,0
bq,20200622,0
bq,20200629,0
bq,20200706,0
bq,20200713,0
bq,20200720,0
bq,20200727,0
bq,20200803,0
bq,20200810,0
bq,20200817,0
bq,20200824,0
bq,20200831,0
bq,20200907,0
bq,20200914,0
bq,20200921,1
bq,20200928,0
bq,20201005,0
bq,20201012,1
bq,20201019,0
bq,20201026,1
bq,20201102,0
bq,20201109,0
bq,20201116,0
bq,20201123,0
bq,20201130,0
bq,20201207,0
bq,20201214,0
bq,20201221,0
bq,20201228,0
bq,20210104,0
br,20200106,0
br,20200113,0
br,20200120,0
br,20200127,0
br,20200203,0
br,20200210,0
br,20200217,0
br,20200224,0
br,20200302,0
br,20200309,0
br,20200316,0
br,20200323,25
br,20200330,111
br,20200406,350
br,20200413,737
br,20200420,1239
br,20200427,1743
br,20200504,2820
br,20200511,4098
br,20200518,4995
br,20200525,6548
br,20200601,6648
br,20200608,7141
br,20200615,6877
br,20200622,7285
br,20200629,7005
br,20200706,7245
br,20200713,7233
br,20200720,7388
br,20200727,7516
br,20200803,7100
br,20200810,6945
br,20200817,6803
br,20200824,6892
br,20200831,6084
br,20200907,5822
br,20200914,4975
br,20200921,5270
br,20200928,4846
br,20201005,4611
br,20201012,4136
br,20201019,3417
br,20201026,3229
br,20201102,2940
br,20201109,2323
br,20201116,3401
br,20201123,3385
br,20201130,3650
br,20201207,4108
br,20201214,4461
br,20201221,5889
br,20201228,3848
br,20210104,4879
bs,20200316,0
bs,20200323,0
bs,20200330,0
bs,20200406,5
bs,20200413,3
bs,20200420,1
bs,20200427,2
bs,20200504,0
bs,20200511,0
bs,20200518,0
bs,20200525,0
bs,20200601,0
bs,20200608,0
bs,20200615,0
bs,20200622,0
bs,20200629,0
bs,20200706,0
bs,20200713,0
bs,20200720,0
bs,20200727,0
bs,20200803,3
bs,20200810,1
bs,20200817,3
bs,20200824,11
bs,20200831,14
bs,20200907,15
bs,20200914,9
bs,20200921,7
bs,20200928,13
bs,20201005,9
bs,20201012,11
bs,20201019,15
bs,20201026,10
bs,20201102,12
bs,20201109,8
bs,20201116,4
bs,20201123,7
bs,20201130,0
bs,20201207,0
bs,20201214,0
bs,20201221,1
bs,20201228,6
bs,20210104,5
bt,20200323,0
bt,20200330,0
bt,20200406,0
bt,20200413,0
bt,20200420,0
bt,20200427,0
bt,20200504,0
bt,20200511,0
bt,20200518,0
bt,20200525,0
bt,20200601,0
bt,20200608,0
bt,20200615,0
bt,20200622,0
bt,20200629,0
bt,20200706,0
bt,20200713,0
bt,20200720,0
bt,20200727,0
bt,20200803,0
bt,20200810,0
bt,20200817,0
bt,20200824,0
bt,20200831,0
bt,20200907,0
bt,20200914,0
bt,20200921,0
bt,20200928,0
bt,20201005,0
bt,20201012,0
bt,20201019,0
bt,20201026,0
bt,20201102,0
bt,20201109,0
bt,20201116,0
bt,20201123,0
bt,20201130,0
bt,20201207,0
bt,20201214,0
bt,20201221,0
bt,20201228,0
bt,20210104,0
bw,20200406,1
bw,20200413,0
bw,20200420,0
bw,20200427,0
bw,20200504,0
bw,20200511,0
bw,20200518,0
bw,20200525,0
bw,20200601,0
bw,20200608,0
bw,20200615,0
bw,20200622,0
bw,20200629,0
bw,20200706,0
bw,20200713,0
bw,20200720,0
bw,20200727,0
bw,20200803,1
bw,20200810,0
bw,20200817,1
bw,20200824,0
bw,20200831,3
bw,20200907,2
bw,20200914,2
bw,20200921,3
bw,20200928,3
bw,20201005,0
bw,20201012,2
bw,20201019,2
bw,20201026,1
bw,20201102,3
bw,20201109,3
bw,20201116,0
bw,20201123,4
bw,20201130,0
bw,20201207,3
bw,20201214,4
bw,20201221,0
bw,20201228,2
bw,20210104,5
by,20200106,0
by,20200113,0
by,20200120,0
by,20200127,0
by,20200203,0
by,20200210,0
by,20200217,0
by,20200224,0
by,20200302,0
by,20200309,0
by,20200316,0
by,20200323,0
by,20200330,0
by,20200406,8
by,20200413,18
by,20200420,21
by,20200427,25
by,20200504,27
by,20200511,32
by,20200518,34
by,20200525,34
by,20200601,36
by,20200608,34
