geo_id,day,notification_rate_per_100000_population_14_days
bm,20200525,24.0
bm,20200601,27.2
bm,20200608,12.8
bm,20200615,6.4
bm,20200622,8.0
bm,20200629,3.2
bm,20200706,0
bm,20200713,6.4
bm,20200720,11.2
bm,20200727,6.4
bm,20200803,4.8
bm,20200810,6.4
bm,20200817,9.6
bm,20200824,14.4
bm,20200831,11.2
bm,20200907,12.8
bm,20200914,12.8
bm,20200921,8.0
bm,20200928,6.4
bm,20201005,1.6
bm,20201012,4.8
bm,20201019,6.4
bm,20201026,11.2
bm,20201102,22.4
bm,20201109,28.8
bm,20201116,36.8
bm,20201123,28.8
bm,20201130,46.39
bm,20201207,97.59
bm,20201214,287.96
bm,20201221,382.35
bm,20201228,239.97
bm,20210104,151.98
bn,20200316,
bn,20200323,20.31
bn,20200330,17.54
bn,20200406,10.85
bn,20200413,2.31
bn,20200420,0.69
bn,20200427,0.46
bn,20200504,0
bn,20200511,0.69
bn,20200518,0.69
bn,20200525,0
bn,20200601,0
bn,20200608,0
bn,20200615,0
bn,20200622,0
bn,20200629,0
bn,20200706,0
bn,20200713,0
bn,20200720,0
bn,20200727,0
bn,20200803,0
bn,20200810,0.23
bn,20200817,0.23
bn,20200824,0.23
bn,20200831,0.46
bn,20200907,0.46
bn,20200914,0.23
bn,20200921,0
bn,20200928,0.23
bn,20201005,0.23
bn,20201012,0
bn,20201019,0.23
bn,20201026,0.46
bn,20201102,0.23
bn,20201109,0
bn,20201116,0
bn,20201123,0
bn,20201130,0.46
bn,20201207,0.69
bn,20201214,0.46
bn,20201221,0.23
bn,20201228,0
bn,20210104,4.62
bo,20200323,
bo,20200330,0.83
bo,20200406,1.35
bo,20200413,2.03
bo,20200420,3.31
bo,20200427,5.39
bo,20200504,8.95
bo,20200511,13.95
bo,20200518,21.66
bo,20200525,32.2
bo,20200601,51.19
bo,20200608,64.1
bo,20200615,73.63
bo,20200622,93.33
bo,20200629,113.48
bo,20200706,129.5
bo,20200713,144.73
bo,20200720,176.19
bo,20200727,184.5
bo,20200803,178.67
bo,20200810,178.67
bo,20200817,175.37
bo,20200824,166.33
bo,20200831,135.71
bo,20200907,100.93
bo,20200914,94.01
bo,20200921,86.05
bo,20200928,61.76
bo,20201005,53.78
bo,20201012,40.59
bo,20201019,25.21
bo,20201026,19.79
bo,20201102,17.91
bo,20201109,14.09
bo,20201116,12.27
bo,20201123,12.57
bo,20201130,11.95
bo,20201207,14.23
