geo_id,day,cases
ai,20200513,0
ai,20200514,0
ai,20200515,0
ai,20200516,0
ai,20200517,0
ai,20200518,0
ai,20200519,0
ai,20200520,0
ai,20200521,0
ai,20200522,0
ai,20200523,0
ai,20200524,0
ai,20200525,0
ai,20200526,0
ai,20200527,0
ai,20200528,0
ai,20200529,0
ai,20200530,0
ai,20200531,0
ai,20200601,0
ai,20200602,0
ai,20200603,0
ai,20200604,0
ai,20200605,0
ai,20200606,0
ai,20200607,0
ai,20200608,0
ai,20200609,0
ai,20200610,0
ai,20200611,0
ai,20200612,0
ai,20200613,0
ai,20200614,0
ai,20200615,0
ai,20200616,0
ai,20200617,0
ai,20200618,0
ai,20200619,0
ai,20200620,0
ai,20200621,0
ai,20200622,0
ai,20200623,0
ai,20200624,0
ai,20200625,0
ai,20200626,0
ai,20200627,0
ai,20200628,0
ai,20200629,0
ai,20200630,0
ai,20200701,0
ai,20200702,0
ai,20200703,0
ai,20200704,0
ai,20200705,0
ai,20200706,0
ai,20200707,0
ai,20200708,0
ai,20200709,0
ai,20200710,0
ai,20200711,0
ai,20200712,0
ai,20200713,0
ai,20200714,0
ai,20200715,0
ai,20200716,0
ai,20200717,0
ai,20200718,0
ai,20200719,0
ai,20200720,0
ai,20200721,0
ai,20200722,0
ai,20200723,0
ai,20200724,0
ai,20200725,0
ai,20200726,0
ai,20200727,0
ai,20200728,0
ai,20200729,0
ai,20200730,0
ai,20200731,0
ai,20200801,0
ai,20200802,0
ai,20200803,0
ai,20200804,0
ai,20200805,0
ai,20200806,0
ai,20200807,0
ai,20200808,0
ai,20200809,0
ai,20200810,0
ai,20200811,0
ai,20200812,0
ai,20200813,0
ai,20200814,0
ai,20200815,0
ai,20200816,0
ai,20200817,0
ai,20200818,0
ai,20200819,0
ai,20200820,0
ai,20200821,0
ai,20200822,0
ai,20200823,0
ai,20200824,0
ai,20200825,0
ai,20200826,0
ai,20200827,0
ai,20200828,0
ai,20200829,0
al,20200309,2
al,20200310,4
al,20200311,4
al,20200312,1
al,20200313,12
al,20200314,10
al,20200315,5
al,20200316,4
al,20200317,9
al,20200318,4
al,20200319,4
al,20200320,11
al,20200321,0
al,20200322,6
al,20200323,13
al,20200324,11
al,20200325,23
al,20200326,23
al,20200327,28
al,20200328,12
al,20200329,11
al,20200330,15
al,20200331,11
al,20200401,20
al,20200402,16
al,20200403,18
al,20200404,27
al,20200405,29
al,20200406,28
al,20200407,16
al,20200408,6
al,20200409,17
al,20200410,9
al,20200411,7
al,20200412,17
al,20200413,13
al,20200414,21
al,20200415,8
al,20200416,19
al,20200417,24
al,20200418,21
al,20200419,9
al,20200420,14
al,20200421,22
al,20200422,25
al,20200423,25
al,20200424,29
al,20200425,15
al,20200426,34
al,20200427,14
al,20200428,10
al,20200429,14
al,20200430,16
al,20200501,7
al,20200502,9
al,20200503,7
al,20200504,6
al,20200505,8
al,20200506,17
al,20200507,12
al,20200508,10
al,20200509,8
al,20200510,6
al,20200511,12
al,20200512,4
al,20200513,4
al,20200514,4
al,20200515,18
al,20200516,18
al,20200517,17
al,20200518,13
al,20200519,2
al,20200520,1
al,20200521,15
al,20200522,5
al,20200523,12
al,20200524,8
al,20200525,9
al,20200526,6
al,20200527,25
al,20200528,21
al,20200529,26
al,20200530,23
al,20200531,23
al,20200601,15
al,20200602,6
al,20200603,21
al,20200604,20
al,20200605,13
al,20200606,15
al,20200607,20
al,20200608,14
al,20200609,17
al,20200610,36
al,20200611,42
al,20200612,44
al,20200613,31
al,20200614,48
al,20200615,57
al,20200616,69
al,20200617,82
al,20200618,50
al,20200619,66
al,20200620,50
al,20200621,53
al,20200622,36
al,20200623,68
al,20200624,52
al,20200625,67
al,20200626,78
al,20200627,77
al,20200628,61
al,20200629,72
al,20200630,64
al,20200701,69
al,20200702,45
al,20200703,82
al,20200704,90
al,20200705,67
al,20200706,74
al,20200707,71
al,20200708,74
al,20200709,68
al,20200710,82
al,20200711,90
al,20200712,93
al,20200713,83
al,20200714,117
al,20200715,96
al,20200716,85
al,20200717,99
al,20200718,55
al,20200719,102
al,20200720,82
al,20200721,81
al,20200722,119
al,20200723,68
al,20200724,108
