geo_id,day,deaths
ar,20200330,1
ar,20200331,4
ar,20200401,0
ar,20200402,7
ar,20200403,3
ar,20200404,3
ar,20200405,6
ar,20200406,3
ar,20200407,7
ar,20200408,7
ar,20200409,5
ar,20200410,14
ar,20200411,3
ar,20200412,7
ar,20200413,6
ar,20200414,3
ar,20200415,7
ar,20200416,4
ar,20200417,6
ar,20200418,7
ar,20200419,10
ar,20200420,2
ar,20200421,8
ar,20200422,9
ar,20200423,8
ar,20200424,6
ar,20200425,2
ar,20200426,18
ar,20200427,1
ar,20200428,11
ar,20200429,10
ar,20200430,7
ar,20200501,4
ar,20200502,7
ar,20200503,12
ar,20200504,9
ar,20200505,14
ar,20200506,4
ar,20200507,9
ar,20200508,9
ar,20200509,11
ar,20200510,7
ar,20200511,0
ar,20200512,5
ar,20200513,14
ar,20200514,10
ar,20200515,24
ar,20200516,3
ar,20200517,7
ar,20200518,3
ar,20200519,16
ar,20200520,11
ar,20200521,10
ar,20200522,13
ar,20200523,17
ar,20200524,12
ar,20200525,7
ar,20200526,15
ar,20200527,17
ar,20200528,16
ar,20200529,8
ar,20200530,12
ar,20200531,8
ar,20200601,11
ar,20200602,17
ar,20200603,13
ar,20200604,14
at,20191231,0
at,20200101,0
at,20200102,0
at,20200103,0
at,20200104,0
at,20200105,0
at,20200106,0
at,20200107,0
at,20200108,0
at,20200109,0
at,20200110,0
at,20200111,0
at,20200112,0
at,20200113,0
at,20200114,0
at,20200115,0
at,20200116,0
at,20200117,0
at,20200118,0
at,20200119,0
at,20200120,0
at,20200121,0
at,20200122,0
at,20200123,0
at,20200124,0
at,20200125,0
at,20200126,0
at,20200127,0
at,20200128,0
at,20200129,0
at,20200130,0
at,20200131,0
at,20200201,0
at,20200202,0
at,20200203,0
at,20200204,0
at,20200205,0
at,20200206,0
at,20200207,0
at,20200208,0
at,20200209,0
at,20200210,0
at,20200211,0
at,20200212,0
at,20200213,0
at,20200214,0
at,20200215,0
at,20200216,0
at,20200217,0
at,20200218,0
at,20200219,0
at,20200220,0
at,20200221,0
at,20200222,0
at,20200223,0
at,20200224,0
at,20200225,0
at,20200226,0
at,20200227,0
at,20200228,0
at,20200229,0
at,20200301,0
at,20200302,0
at,20200303,0
at,20200304,0
at,20200305,0
at,20200306,0
at,20200307,0
at,20200308,0
at,20200309,0
at,20200310,0
at,20200311,0
at,20200312,0
at,20200313,1
at,20200314,0
at,20200315,0
at,20200316,0
at,20200317,2
at,20200318,0
at,20200319,1
at,20200320,2
at,20200321,0
at,20200322,2
at,20200323,8
at,20200324,9
at,20200325,5
at,20200326,4
at,20200327,18
at,20200328,16
at,20200329,0
at,20200330,18
at,20200331,22
at,20200401,20
at,20200402,18
at,20200403,12
at,20200404,10
at,20200405,18
at,20200406,18
at,20200407,16
at,20200408,23
at,20200409,30
at,20200410,22
at,20200411,24
at,20200412,18
at,20200413,13
at,20200414,18
at,20200415,16
at,20200416,9
at,20200417,17
at,20200418,21
at,20200419,12
at,20200420,9
at,20200421,10
at,20200422,1
at,20200423,31
at,20200424,14
at,20200425,5
at,20200426,23
at,20200427,6
at,20200428,7
at,20200429,20
at,20200430,11
at,20200501,4
at,20200502,5
at,20200503,7
at,20200504,2
at,20200505,2
at,20200506,6
at,20200507,2
at,20200508,1
at,20200509,5
at,20200510,1
at,20200511,3
at,20200512,2
at,20200513,3
at,20200514,1
at,20200515,2
at,20200516,2
at,20200517,0
at,20200518,1
at,20200519,0
at,20200520,3
at,20200521,1
at,20200522,0
at,20200523,2
at,20200524,4
at,20200525,1
at,20200526,1
at,20200527,2
at,20200528,2
at,20200529,23
at,20200530,0
at,20200531,0
at,20200601,0
at,20200602,0
at,20200603,1
at,20200604,1
au,20191231,0
au,20200101,0
au,20200102,0
au,20200103,0
au,20200104,0
au,20200105,0
au,20200106,0
au,20200107,0
au,20200108,0
au,20200109,0
au,20200110,0
au,20200111,0
au,20200112,0
au,20200113,0
au,20200114,0
au,20200115,0
au,20200116,0
au,20200117,0
au,20200118,0
au,20200119,0
au,20200120,0
au,20200121,0
au,20200122,0
au,20200123,0
au,20200124,0
au,20200125,0
au,20200126,0
au,20200127,0
au,20200128,0
au,20200129,0
au,20200130,0
au,20200131,0
au,20200201,0
au,20200202,0
au,20200203,0
au,20200204,0
au,20200205,0
au,20200206,0
au,20200207,0
au,20200208,0
au,20200209,0
au,20200210,0
au,20200211,0
au,20200212,0
au,20200213,0
au,20200214,0
au,20200215,0
au,20200216,0
au,20200217,0
au,20200218,0
au,20200219,0
au,20200220,0
au,20200221,0
au,20200222,0
au,20200223,0
au,20200224,0
au,20200225,0
au,20200226,0
au,20200227,0
au,20200228,0
au,20200229,0
au,20200301,1
au,20200302,0
au,20200303,0
au,20200304,0
au,20200305,1
au,20200306,0
au,20200307,0
au,20200308,1
au,20200309,0
au,20200310,0
au,20200311,0
au,20200312,0
au,20200313,0
au,20200314,0
au,20200315,0
au,20200316,2
au,20200317,0
au,20200318,0
au,20200319,1
au,20200320,0
au,20200321,1
au,20200322,0
au,20200323,0
au,20200324,0
au,20200325,1
au,20200326,3
au,20200327,2
au,20200328,0
au,20200329,1
au,20200330,2
au,20200331,3
au,20200401,1
au,20200402,1
au,20200403,2
au,20200404,7
au,20200405,4
au,20200406,2
au,20200407,6
au,20200408,3
au,20200409,5
au,20200410,2
au,20200411,2
au,20200412,3
au,20200413,4
au,20200414,0
au,20200415,0
au,20200416,2
au,20200417,0
au,20200418,4
au,20200419,2
au,20200420,1
au,20200421,1
au,20200422,3
au,20200423,0
au,20200424,1
au,20200425,4
au,20200426,2
au,20200427,2
au,20200428,1
au,20200429,4
au,20200430,2
au,20200501,2
au,20200502,1
au,20200503,0
au,20200504,2
au,20200505,0
au,20200506,1
au,20200507,1
au,20200508,0
au,20200509,0
au,20200510,0
au,20200511,0
au,20200512,0
au,20200513,0
au,20200514,1
au,20200515,0
au,20200516,0
au,20200517,0
au,20200518,0
au,20200519,1
au,20200520,0
au,20200521,1
au,20200522,0
au,20200523,1
au,20200524,1
au,20200525,0
au,20200526,0
au,20200527,0
au,20200528,1
au,20200529,0
au,20200530,0
au,20200531,0
au,20200601,0
au,20200602,0
au,20200603,-1
au,20200604,0
aw,20200313,0
aw,20200320,0
aw,20200324,0
aw,20200325,0
aw,20200326,0
aw,20200327,0
aw,20200328,0
aw,20200329,0
aw,20200330,0
aw,20200401,0
aw,20200402,0
aw,20200403,0
aw,20200404,0
aw,20200405,0
aw,20200406,0
aw,20200407,0
aw,20200408,0
aw,20200409,0
aw,20200410,0
aw,20200411,0
aw,20200412,0
aw,20200413,0
aw,20200414,0
aw,20200415,0
aw,20200416,1
aw,20200417,0
aw,20200418,1
aw,20200419,0
aw,20200420,0
aw,20200421,0
aw,20200422,0
aw,20200423,0
aw,20200424,0
aw,20200425,0
aw,20200426,0
aw,20200427,0
aw,20200428,0
aw,20200429,0
aw,20200430,0
aw,20200501,0
aw,20200502,0
aw,20200503,0
aw,20200504,0
aw,20200505,0
aw,20200506,0
aw,20200507,0
aw,20200508,1
aw,20200509,0
aw,20200510,0
aw,20200511,0
aw,20200512,0
aw,20200513,0
aw,20200514,0
aw,20200515,0
aw,20200516,0
aw,20200517,0
aw,20200518,0
aw,20200519,0
aw,20200520,0
aw,20200521,0
aw,20200522,0
aw,20200523,0
aw,20200524,0
aw,20200525,0
aw,20200526,0
aw,20200527,0
aw,20200528,0
aw,20200529,0
aw,20200530,0
aw,20200531,0
aw,20200601,0
aw,20200602,0
aw,20200603,0
aw,20200604,0
az,20191231,0
az,20200101,0
az,20200102,0
az,20200103,0
az,20200104,0
az,20200105,0
az,20200106,0
az,20200107,0
az,20200108,0
az,20200109,0
az,20200110,0
az,20200111,0
az,20200112,0
az,20200113,0
az,20200114,0
az,20200115,0
az,20200116,0
az,20200117,0
az,20200118,0
az,20200119,0
az,20200120,0
az,20200121,0
az,20200122,0
az,20200123,0
az,20200124,0
az,20200125,0
az,20200126,0
az,20200127,0
az,20200128,0
az,20200129,0
az,20200130,0
az,20200131,0
az,20200201,0
az,20200202,0
az,20200203,0
az,20200204,0
az,20200205,0
az,20200206,0
az,20200207,0
az,20200208,0
az,20200209,0
az,20200210,0
az,20200211,0
az,20200212,0
az,20200213,0
az,20200214,0
az,20200215,0
az,20200216,0
az,20200217,0
az,20200218,0
az,20200219,0
az,20200220,0
az,20200221,0
az,20200222,0
az,20200223,0
az,20200224,0
az,20200225,0
az,20200226,0
az,20200227,0
az,20200228,0
az,20200229,0
az,20200301,0
az,20200302,0
az,20200306,0
az,20200307,0
az,20200311,0
az,20200312,0
az,20200313,0
az,20200315,0
az,20200316,0
az,20200317,0
az,20200318,0
az,20200319,0
az,20200320,0
az,20200321,1
az,20200322,0
az,20200323,0
az,20200324,0
az,20200325,0
az,20200326,1
az,20200327,1
az,20200328,0
az,20200329,1
az,20200330,0
az,20200331,0
az,20200401,1
az,20200402,0
az,20200403,0
az,20200404,0
az,20200405,0
az,20200406,2
az,20200407,0
az,20200408,1
az,20200409,0
az,20200410,1
az,20200411,1
az,20200412,1
az,20200413,0
az,20200414,1
az,20200415,1
az,20200416,0
az,20200417,2
az,20200418,0
az,20200419,3
az,20200420,1
az,20200421,0
az,20200422,1
az,20200423,0
az,20200424,0
az,20200425,1
az,20200426,0
az,20200427,0
az,20200428,1
az,20200429,0
az,20200430,1
az,20200501,1
az,20200502,1
az,20200503,0
az,20200504,0
az,20200505,1
az,20200506,0
az,20200507,2
az,20200508,0
az,20200509,0
az,20200510,3
az,20200511,1
az,20200512,0
az,20200513,1
az,20200514,2
az,20200515,0
az,20200516,1
az,20200517,0
az,20200518,3
az,20200519,1
az,20200520,1
az,20200521,2
az,20200522,1
az,20200523,2
az,20200524,3
az,20200525,0
az,20200526,2
az,20200527,1
az,20200528,2
az,20200529,2
az,20200530,2
az,20200531,3
az,20200601,2
az,20200602,5
az,20200603,3
az,20200604,5
ba,20200306,0
ba,20200312,0
ba,20200313,0
ba,20200316,0
ba,20200317,0
ba,20200318,0
ba,20200319,0
ba,20200320,0
ba,20200321,0
ba,20200322,1
ba,20200323,0
ba,20200324,0
ba,20200325,1
ba,20200326,1
ba,20200327,0
ba,20200328,0
ba,20200329,2
ba,20200330,1
ba,20200331,2
ba,20200401,4
ba,20200402,1
ba,20200403,4
ba,20200404,1
ba,20200405,3
ba,20200406,3
ba,20200407,4
ba,20200408,4
ba,20200409,3
ba,20200410,1
ba,20200411,1
ba,20200412,0
ba,20200413,1
ba,20200414,0
ba,20200415,1
ba,20200416,1
ba,20200417,1
ba,20200418,3
ba,20200419,1
ba,20200420,1
ba,20200421,2
ba,20200422,2
ba,20200423,2
ba,20200424,1
ba,20200425,1
ba,20200426,2
ba,20200427,2
ba,20200428,2
ba,20200429,2
ba,20200430,0
ba,20200501,2
ba,20200502,6
ba,20200503,2
ba,20200504,5
ba,20200505,1
ba,20200506,1
ba,20200507,7
ba,20200508,4
ba,20200509,8
ba,20200510,0
ba,20200511,4
ba,20200512,10
ba,20200513,5
ba,20200514,3
ba,20200515,3
ba,20200516,4
ba,20200517,2
ba,20200518,3
ba,20200519,0
ba,20200520,1
ba,20200521,2
ba,20200522,4
ba,20200523,2
ba,20200524,0
ba,20200525,3
ba,20200526,2
ba,20200527,3
ba,20200528,2
ba,20200529,2
ba,20200530,0
ba,20200531,0
ba,20200601,0
ba,20200602,0
ba,20200603,3
ba,20200604,0
bb,20200318,0
bb,20200319,0
bb,20200320,0
bb,20200321,0
bb,20200322,0
bb,20200323,0
bb,20200324,0
bb,20200325,0
bb,20200326,0
bb,20200327,0
bb,20200328,0
bb,20200329,0
bb,20200330,0
bb,20200331,0
bb,20200401,0
bb,20200402,0
bb,20200403,0
bb,20200404,0
bb,20200405,0
bb,20200406,1
bb,20200407,1
bb,20200408,1
bb,20200409,0
bb,20200410,0
bb,20200411,1
bb,20200412,0
bb,20200413,0
bb,20200414,0
bb,20200415,1
bb,20200416,0
